date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20251208,6433,ヒーハイスト,690.0,683.1,500,-3449.9999999999886,-0.9999999999999967,損切り,09:30,09:31,0.4348,-1.4493,2.22
20251209,3921,ネオジャパン,1930.0,1910.7,200,-3859.999999999991,-0.9999999999999976,損切り,09:30,09:44,0.0,-1.0363,2.33
20251210,9692,シーイーシー,2192.0,2235.84,100,4384.000000000015,2.0000000000000067,利確,09:30,12:32,2.1442,-0.1825,0.64
20251211,6840,ＡＫＩＢＡホールディングス,415.0,410.85,900,-3734.9999999999795,-0.9999999999999944,損切り,09:30,09:33,0.4819,-1.4458,2.47
20251212,9163,ナレルグループ,2311.0,2310.0,100,-100.0,-0.043271311120726956,前場引け,09:30,11:30,0.1731,-0.2596,0.13
20251215,5351,品川リフラ,2102.0,2144.04,100,4203.999999999996,1.9999999999999982,利確,09:33,13:30,2.0932,-0.666,2.04
20251216,4384,ラクスル,1805.0,1786.95,200,-3609.999999999991,-0.9999999999999974,損切り,09:30,09:36,0.3324,-1.108,2.5
20251217,4912,ライオン,1716.5,1699.335,200,-3432.9999999999927,-0.9999999999999979,損切り,09:30,10:55,0.67,-1.1943,2.32
20251218,3134,Ｈａｍｅｅ,451.0,460.02,800,7215.999999999985,1.9999999999999958,利確,09:34,12:33,2.2173,-0.4435,2.73
20251219,4819,デジタルガレージ,2823.0,2794.77,100,-2823.000000000002,-1.0000000000000007,損切り,09:30,10:00,0.8856,-1.2752,1.4
20251222,4025,多木化学,4065.0,4024.35,100,-4065.000000000009,-1.0000000000000022,損切り,09:32,11:17,1.476,-1.107,2.78
20251223,3864,三菱製紙,664.0,657.36,600,-3983.999999999992,-0.9999999999999979,損切り,09:32,10:03,0.0,-1.3554,1.22
20251224,3856,Ａｂａｌａｎｃｅ,405.0,400.95,900,-3645.00000000001,-1.0000000000000029,損切り,09:30,09:34,0.4938,-1.2346,1.0
